,close,high,low,open,time
0,71.0,71.5,71.0,71.11,2019-12-26 07:00:00+00:00
1,71.21,71.29,70.98,71.29,2019-12-26 07:15:00+00:00
2,71.24,71.25,71.03,71.24,2019-12-26 07:30:00+00:00
3,71.24,71.24,71.19,71.24,2019-12-26 07:45:00+00:00
4,71.06,71.24,71.06,71.24,2019-12-26 08:00:00+00:00
5,71.2,71.24,71.06,71.06,2019-12-26 08:15:00+00:00
6,71.23,71.24,71.06,71.24,2019-12-26 08:30:00+00:00
7,71.23,71.23,71.06,71.23,2019-12-26 08:45:00+00:00
8,71.16,71.22,71.09,71.22,2019-12-26 09:00:00+00:00
9,71.19,71.31,70.5,71.21,2019-12-26 09:15:00+00:00
10,71.21,71.22,71.19,71.19,2019-12-26 09:30:00+00:00
11,71.21,71.21,71.21,71.21,2019-12-26 09:45:00+00:00
12,71.17,71.21,71.17,71.2,2019-12-26 10:00:00+00:00
13,71.17,71.22,71.17,71.2,2019-12-26 10:15:00+00:00
14,71.17,71.22,71.17,71.17,2019-12-26 10:30:00+00:00
15,71.22,71.22,70.83,71.22,2019-12-26 10:45:00+00:00
16,71.22,71.22,71.22,71.22,2019-12-26 11:00:00+00:00
17,71.22,71.22,71.22,71.22,2019-12-26 11:15:00+00:00
18,71.22,71.22,71.16,71.22,2019-12-26 11:30:00+00:00
19,71.16,71.21,71.15,71.18,2019-12-26 11:45:00+00:00
20,71.19,71.21,71.19,71.2,2019-12-26 12:00:00+00:00
21,71.19,71.2,71.19,71.19,2019-12-26 12:15:00+00:00
22,71.2,71.21,71.19,71.19,2019-12-26 12:30:00+00:00
23,71.19,71.2,71.15,71.2,2019-12-26 12:45:00+00:00
24,71.18,71.2,71.17,71.2,2019-12-26 13:00:00+00:00
25,71.22,71.22,71.16,71.16,2019-12-26 13:15:00+00:00
26,71.19,71.2,71.17,71.18,2019-12-26 13:30:00+00:00
27,71.16,71.2,71.16,71.19,2019-12-26 13:45:00+00:00
28,71.16,71.18,71.15,71.16,2019-12-26 14:00:00+00:00
29,71.22,71.22,71.14,71.15,2019-12-26 14:15:00+00:00
30,71.43,71.46,71.18,71.21,2019-12-26 14:30:00+00:00
31,71.48,71.5,71.41,71.43,2019-12-26 14:45:00+00:00
32,71.56,71.6,71.48,71.48,2019-12-26 15:00:00+00:00
33,71.63,71.69,71.55,71.56,2019-12-26 15:15:00+00:00
34,71.7,71.75,71.62,71.64,2019-12-26 15:30:00+00:00
35,71.85,71.86,71.7,71.7,2019-12-26 15:45:00+00:00
36,71.93,71.94,71.86,71.86,2019-12-26 16:00:00+00:00
37,72.03,72.12,71.93,71.93,2019-12-26 16:15:00+00:00
38,72.08,72.14,71.98,72.03,2019-12-26 16:30:00+00:00
39,72.15,72.18,72.04,72.07,2019-12-26 16:45:00+00:00
